"uuid","time_begin","time_end","distance","origin_lat","origin_lng","destination_lat","destination_lng","type","pass_is","jam"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-25 07:59:31","2022-10-25 08:40:42",16685,36.477888,127.295891,36.402437,127.39995,"StoD","false","true"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-25 19:44:53","2022-10-25 20:13:51",11446,36.436273,127.387538,36.478268,127.296336,"DtoS","false","false"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-26 08:00:37","2022-10-26 08:42:18",16582,36.478083,127.295775,36.403009,127.399942,"StoD","false","true"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-26 18:01:25","2022-10-26 18:45:56",17007,36.402778,127.399839,36.478308,127.296391,"DtoS","false","false"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-27 07:56:48","2022-10-27 08:28:27",16424,36.476698,127.29609,36.40293,127.399985,"StoD","false","true"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-27 19:44:33","2022-10-27 20:01:02",11579,36.435454,127.387304,36.478285,127.296261,"DtoS","false","false"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-28 08:04:46","2022-10-28 08:34:33",16748,36.477117,127.295928,36.402974,127.399961,"StoD","false","true"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-28 17:44:26","2022-10-28 18:36:40",15993,36.409747,127.395044,36.478292,127.296315,"DtoS","false","false"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-29 13:00:13","2022-10-29 13:14:14",11672,36.477754,127.295552,36.434763,127.383715,"StoD","false","true"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-29 16:05:09","2022-10-29 16:21:58",11562,36.433465,127.38843,36.484679,127.300822,"DtoS","false","false"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-31 08:01:51","2022-10-31 08:34:26",16953,36.477893,127.295533,36.402886,127.400009,"StoD","false","true"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-31 19:56:20","2022-10-31 20:20:39",19784,36.40182,127.399777,36.479194,127.297162,"DtoS","false","false"
"27b5fd7addc54f2ab13a90ed0515f139","2022-11-01 07:58:10","2022-11-01 08:34:56",16744,36.478023,127.295827,36.402664,127.399861,"StoD","false","true"
"27b5fd7addc54f2ab13a90ed0515f139","2022-11-01 19:06:41","2022-11-01 19:37:08",16777,36.402748,127.397739,36.478285,127.296287,"DtoS","false","false"
"27b5fd7addc54f2ab13a90ed0515f139","2022-11-02 07:57:26","2022-11-02 08:33:50",16653,36.477985,127.295621,36.402986,127.399954,"StoD","false","true"
"27b5fd7addc54f2ab13a90ed0515f139","2022-11-02 20:38:48","2022-11-02 20:54:43",12178,36.432071,127.38903,36.484686,127.298966,"DtoS","false","false"
"27b5fd7addc54f2ab13a90ed0515f139","2022-11-03 07:57:12","2022-11-03 08:25:22",16094,36.4777,127.297901,36.402662,127.399828,"StoD","false","true"
"27b5fd7addc54f2ab13a90ed0515f139","2022-11-03 19:38:56","2022-11-03 19:53:47",11319,36.436705,127.388116,36.484694,127.298948,"DtoS","false","false"
"27b5fd7addc54f2ab13a90ed0515f139","2022-11-04 07:48:36","2022-11-04 08:21:08",16781,36.477291,127.295915,36.40269,127.39986,"StoD","false","true"
"27b5fd7addc54f2ab13a90ed0515f139","2022-11-04 18:22:45","2022-11-04 19:07:58",15726,36.409924,127.394801,36.478333,127.296252,"DtoS","false","false"
"27b5fd7addc54f2ab13a90ed0515f139","2022-11-07 07:54:18","2022-11-07 08:34:15",17062,36.47831,127.295711,36.402964,127.399967,"StoD","false","true"
"27b5fd7addc54f2ab13a90ed0515f139","2022-11-07 19:03:24","2022-11-07 19:26:48",11853,36.433516,127.388483,36.479109,127.296834,"DtoS","false","false"
"27b5fd7addc54f2ab13a90ed0515f139","2022-11-08 07:46:14","2022-11-08 08:25:41",16937,36.478158,127.295901,36.402677,127.399858,"StoD","false","true"
"27b5fd7addc54f2ab13a90ed0515f139","2022-11-08 20:07:36","2022-11-08 20:31:51",16938,36.402751,127.399509,36.478303,127.296267,"DtoS","false","false"
"27b5fd7addc54f2ab13a90ed0515f139","2022-11-09 07:51:55","2022-11-09 08:25:04",16281,36.47882,127.300495,36.402847,127.400046,"StoD","false","true"
